misspelled_text,correct_text
I realy like machne lernng,I really like machine learning
Ths is an exmple of spelng erors,This is an example of spelling errors
Naural langauge procesing is intersting,Natural language processing is interesting
Pleese corect ths sentnce,Please correct this sentence
Python is a gret progrmming langauge,Python is a great programming language
I am lerning data scince,I am learning data science
This sentense has multple misstakes,This sentence has multiple mistakes
Artifical inteligence is the futre,Artificial intelligence is the future
We are bulding an NLP modle,We are building an NLP model
Speling corection is an importent task,Spelling correction is an important task
